,State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Food environment index,Physical inactivity,Access to exercise opportunities,Primary care physicians,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income
3324,NC,South,South Atlantic,Guilford County,37081,37081,Region 20,1/1/2015,6628.0,0.122,2.7,3.1,6.2,0.22,0.939,78.0,0.239,0.081,8628.0,0.139,83.0,46093
3325,NC,South,South Atlantic,Halifax County,37083,37083,Insuff Data,1/1/2014,10941.0,0.296,4.7,4.3,5.017,0.339,0.436,55.0,0.23,0.066,9488.0,0.263,35.0,31253
3326,NC,South,South Atlantic,Halifax County,37083,37083,Insuff Data,1/1/2015,10903.0,0.296,4.7,4.3,4.7,0.346,0.676,59.0,0.23,0.074,9773.0,0.263,39.0,32597
3327,NC,South,South Atlantic,Harnett County,37085,37085,Region 20,1/1/2014,8643.0,0.188,4.1,3.5,7.061,0.286,0.551,30.0,0.266,0.095,10191.0,0.144,56.0,44998
3328,NC,South,South Atlantic,Harnett County,37085,37085,Region 20,1/1/2015,7918.0,0.188,4.1,3.5,6.8,0.268,0.634,33.0,0.252,0.084,10150.0,0.144,58.0,45257
3329,NC,South,South Atlantic,Haywood County,37087,37087,Region 20,1/1/2014,7745.0,0.18,4.7,4.8,7.646,0.216,0.64,73.0,0.22,0.075,8498.0,0.205,49.0,40022
3330,NC,South,South Atlantic,Haywood County,37087,37087,Region 20,1/1/2015,7698.0,0.18,4.7,4.8,7.3,0.235,0.907,78.0,0.227,0.07,8561.0,0.205,46.0,39320
3331,NC,South,South Atlantic,Henderson County,37089,37089,Region 20,1/1/2014,6873.0,0.172,3.7,3.5,8.136,0.235,0.58,77.0,0.251,0.092,8539.0,0.145,75.0,45168
3332,NC,South,South Atlantic,Henderson County,37089,37089,Region 20,1/1/2015,6755.0,0.172,3.7,3.5,7.8,0.231,0.883,80.0,0.261,0.097,8465.0,0.145,87.0,44561
3333,NC,South,South Atlantic,Hertford County,37091,37091,Insuff Data,1/1/2014,8977.0,0.262,3.5,2.7,5.614,0.336,0.482,57.0,0.22,0.063,8244.0,0.174,82.0,31861
3334,NC,South,South Atlantic,Hertford County,37091,37091,Insuff Data,1/1/2015,8394.0,0.262,3.5,2.7,5.2,0.334,0.669,45.0,0.243,0.074,8319.0,0.174,82.0,33616
3335,NC,South,South Atlantic,Hoke County,37093,37093,Region 20,1/1/2014,7797.0,0.217,3.9,3.1,6.381,0.301,0.139,6.0,0.294,0.085,10943.0,0.195,46.0,44717
3336,NC,South,South Atlantic,Hoke County,37093,37093,Region 20,1/1/2015,8009.0,0.217,3.9,3.1,6.0,0.3,0.816,6.0,0.289,0.093,10811.0,0.195,45.0,43987
3337,NC,South,South Atlantic,Hyde County,37095,37095,Insuff Data,1/1/2014,7202.0,,2.0,,4.441,0.286,0.653,17.0,0.272,0.132,8569.0,,34.0,35301
3338,NC,South,South Atlantic,Hyde County,37095,37095,Insuff Data,1/1/2015,9710.0,,2.0,,4.1,0.27,0.648,17.0,0.289,0.122,8379.0,,52.0,36681
3339,NC,South,South Atlantic,Iredell County,37097,37097,Region 20,1/1/2014,7198.0,0.167,3.3,3.0,7.478,0.239,0.647,67.0,0.219,0.072,10015.0,0.15,68.0,49666
3340,NC,South,South Atlantic,Iredell County,37097,37097,Region 20,1/1/2015,7055.0,0.167,3.3,3.0,7.2,0.239,0.735,71.0,0.231,0.078,10151.0,0.15,74.0,49983
3341,NC,South,South Atlantic,Jackson County,37099,37099,Region 20,1/1/2014,7283.0,0.213,3.7,3.9,7.114,0.25,0.98,97.0,0.307,0.117,8245.0,0.155,91.0,37049
3342,NC,South,South Atlantic,Jackson County,37099,37099,Region 20,1/1/2015,7236.0,0.213,3.7,3.9,6.7,0.268,0.918,89.0,0.301,0.121,8216.0,0.155,105.0,40511
3343,NC,South,South Atlantic,Johnston County,37101,37101,Region 20,1/1/2014,7341.0,0.204,4.0,3.7,7.889,0.278,0.567,31.0,0.235,0.083,10794.0,0.182,39.0,48773
3344,NC,South,South Atlantic,Johnston County,37101,37101,Region 20,1/1/2015,7499.0,0.204,4.0,3.7,7.6,0.267,0.707,29.0,0.263,0.098,10690.0,0.182,44.0,50904
3345,NC,South,South Atlantic,Jones County,37103,37103,Region 20,1/1/2014,8375.0,0.189,3.6,6.2,7.462,0.331,0.551,60.0,0.247,0.099,8066.0,,107.0,35159
3346,NC,South,South Atlantic,Jones County,37103,37103,Region 20,1/1/2015,10038.0,0.189,3.6,6.2,6.9,0.301,0.618,49.0,0.251,0.094,8795.0,,88.0,39602
3347,NC,South,South Atlantic,Lee County,37105,37105,Region 20,1/1/2014,8413.0,0.201,3.4,4.0,6.448,0.263,0.49,54.0,0.275,0.095,9007.0,0.203,60.0,43424
3348,NC,South,South Atlantic,Lee County,37105,37105,Region 20,1/1/2015,8793.0,0.201,3.4,4.0,6.3,0.239,0.666,55.0,0.272,0.096,9477.0,0.203,65.0,48061
3349,NC,South,South Atlantic,Lenoir County,37107,37107,Region 20,1/1/2014,10935.0,0.25,4.1,4.7,6.104,0.356,0.537,46.0,0.246,0.076,9027.0,0.182,52.0,35634
3350,NC,South,South Atlantic,Lenoir County,37107,37107,Region 20,1/1/2015,9927.0,0.25,4.1,4.7,5.8,0.341,0.559,46.0,0.261,0.065,9353.0,0.182,63.0,34127
3351,NC,South,South Atlantic,Lincoln County,37109,37109,Region 20,1/1/2014,7758.0,0.203,4.2,3.3,7.593,0.255,0.701,46.0,0.235,0.076,9636.0,0.171,24.0,47799
3352,NC,South,South Atlantic,Lincoln County,37109,37109,Region 20,1/1/2015,7146.0,0.203,4.2,3.3,7.4,0.278,0.646,42.0,0.219,0.089,9569.0,0.171,25.0,50537
3353,NC,South,South Atlantic,Macon County,37113,37113,Region 15,1/1/2014,7125.0,0.173,3.4,3.9,7.754,0.255,1.0,79.0,0.288,0.11,7449.0,0.178,30.0,36438
3354,NC,South,South Atlantic,Macon County,37113,37113,Region 15,1/1/2015,8727.0,0.173,3.4,3.9,7.4,0.233,1.0,77.0,0.307,0.109,7359.0,0.178,30.0,37219
3355,NC,South,South Atlantic,Madison County,37115,37115,Region 20,1/1/2014,7660.0,0.196,4.8,,7.852,0.26,0.811,53.0,0.225,0.069,8296.0,0.18,53.0,37644
3356,NC,South,South Atlantic,Madison County,37115,37115,Region 20,1/1/2015,6607.0,0.196,4.8,,7.5,0.272,0.397,53.0,0.229,0.081,8968.0,0.18,57.0,37479
3357,NC,South,South Atlantic,Martin County,37117,37117,Region 20,1/1/2014,10798.0,0.221,4.8,,6.579,0.302,0.344,37.0,0.219,0.07,8809.0,0.167,33.0,33159
3358,NC,South,South Atlantic,Martin County,37117,37117,Region 20,1/1/2015,8218.0,0.221,4.8,,6.2,0.325,0.579,46.0,0.236,0.073,10047.0,0.167,42.0,34761
3359,NC,South,South Atlantic,McDowell County,37111,37111,Region 20,1/1/2014,7946.0,0.288,6.2,4.5,7.322,0.315,0.753,38.0,0.209,0.067,8398.0,0.2,56.0,36584
3360,NC,South,South Atlantic,McDowell County,37111,37111,Region 20,1/1/2015,7834.0,0.288,6.2,4.5,7.1,0.304,0.829,36.0,0.238,0.073,8489.0,0.2,62.0,36840
3361,NC,South,South Atlantic,Mecklenburg County,37119,37119,Region 20,1/1/2014,6039.0,0.142,2.8,3.2,6.743,0.206,0.868,87.0,0.225,0.074,8324.0,0.164,80.0,55392
3362,NC,South,South Atlantic,Mecklenburg County,37119,37119,Region 20,1/1/2015,5594.0,0.142,2.8,3.2,6.5,0.203,0.893,86.0,0.23,0.067,8514.0,0.164,88.0,54657
3363,NC,South,South Atlantic,Mitchell County,37121,37121,Region 16,1/1/2014,8311.0,0.196,4.3,4.7,7.736,0.285,1.0,91.0,0.235,0.075,8601.0,0.172,59.0,36210
3364,NC,South,South Atlantic,Mitchell County,37121,37121,Region 16,1/1/2015,7766.0,0.196,4.3,4.7,7.3,0.309,1.0,78.0,0.215,0.072,9123.0,0.172,85.0,38303
3365,NC,South,South Atlantic,Montgomery County,37123,37123,Region 20,1/1/2014,8828.0,,3.7,2.1,7.132,0.276,0.811,29.0,0.291,0.11,9332.0,,40.0,35272
3366,NC,South,South Atlantic,Montgomery County,37123,37123,Region 20,1/1/2015,9352.0,,3.7,2.1,6.9,0.274,0.786,33.0,0.296,0.095,9986.0,,36.0,35613
3367,NC,South,South Atlantic,Moore County,37125,37125,Region 20,1/1/2014,6997.0,0.154,3.6,3.1,7.597,0.279,0.415,92.0,0.225,0.075,8452.0,0.177,94.0,49670
